Chamber,State,First_Name,Middle_Name,Last_Name,Suffix,Party,Congressional_Year
Senate,Alabama,Howell,,Heflin,,D,1981
Senate,Alabama,Jeremiah,,Denton,,R,1981
Senate,Alaska,Ted,,Stevens,,R,1981
Senate,Alaska,Frank,,Murkowski,,R,1981
Senate,Arizona,Dennis,,DeConcini,,D,1981
Senate,Arizona,Barry,,Goldwater,,R,1981
Senate,Arkansas,David,,Pryor,,D,1981
Senate,Arkansas,Dale,,Bumpers,,D,1981
Senate,California,S.,I.,Hayakawa,,R,1981
Senate,California,Alan,,Cranston,,D,1981
Senate,Colorado,William,L.,Armstrong,,R,1981
Senate,Colorado,Gary,,Hart,,D,1981
Senate,Connecticut,Lowell,,Weicker,,R,1981
Senate,Connecticut,Chris,,Dodd,,D,1981
Senate,Delaware,William,,Roth,,R,1981
Senate,Delaware,Joe,,Biden,,D,1981
Senate,Florida,Lawton,,Chiles,,D,1981
Senate,Florida,Paula,,Hawkins,,R,1981
Senate,Georgia,Sam,,Nunn,,D,1981
Senate,Georgia,Mack,,Mattingly,,R,1981
Senate,Hawaii,Spark,,Matsunaga,,D,1981
Senate,Hawaii,Daniel,,Inouye,,D,1981
Senate,Idaho,James,A.,McClure,,R,1981
Senate,Idaho,Steve,,Symms,,R,1981
Senate,Illinois,Charles,H.,Percy,,R,1981
Senate,Illinois,Alan,J.,Dixon,,D,1981
Senate,Indiana,Richard,,Lugar,,R,1981
Senate,Indiana,Dan,,Quayle,,R,1981
Senate,Iowa,Roger,,Jepsen,,R,1981
Senate,Iowa,Chuck,,Grassley,,R,1981
Senate,Kansas,Nancy,,Kassebaum,,R,1981
Senate,Kansas,Bob,,Dole,,R,1981
Senate,Kentucky,Walter,"""Dee""",Huddleston,,D,1981
Senate,Kentucky,Wendell,,Ford,,D,1981
Senate,Louisiana,J.,Bennett,Johnston,,D,1981
Senate,Louisiana,Russell,B.,Long,,D,1981
Senate,Maine,George,J.,Mitchell,,D,1981
Senate,Maine,William,,Cohen,,R,1981
Senate,Maryland,Paul,,Sarbanes,,D,1981
Senate,Maryland,Charles,,Mathias,,R,1981
Senate,Massachusetts,Ted,,Kennedy,,D,1981
Senate,Massachusetts,Paul,,Tsongas,,D,1981
Senate,Michigan,Donald,,Riegle,,D,1981
Senate,Michigan,Carl,,Levin,,D,1981
Senate,Minnesota,David,,Durenberger,,R,1981
Senate,Minnesota,Rudy,,Boschwitz,,R,1981
Senate,Mississippi,John,C.,Stennis,,D,1981
Senate,Mississippi,Thad,,Cochran,,R,1981
Senate,Missouri,John,,Danforth,,R,1981
Senate,Missouri,Thomas,,Eagleton,,D,1981
Senate,Montana,John,,Melcher,,D,1981
Senate,Montana,Max,,Baucus,,D,1981
Senate,Nebraska,Edward,,Zorinsky,,D,1981
Senate,Nebraska,J.,James,Exon,,D,1981
Senate,Nevada,Howard,,Cannon,,D,1981
Senate,Nevada,Paul,,Laxalt,,R,1981
Senate,New Hampshire,Gordon,J.,Humphrey,,R,1981
Senate,New Hampshire,Warren,,Rudman,,R,1981
Senate,New Jersey,Harrison,A.,Williams,,D,1981
Senate,New Jersey,Nicholas,F.,Brady,,R,1981
Senate,New Jersey,Frank,,Lautenberg,,D,1981
Senate,New Jersey,Bill,,Bradley,,D,1981
Senate,New Mexico,Harrison,,Schmitt,,R,1981
Senate,New Mexico,Pete,,Domenici,,R,1981
Senate,New York,Daniel,Patrick,Moynihan,,D,1981
Senate,New York,Al,,D'Amato,,R,1981
Senate,North Carolina,Jesse,,Helms,,R,1981
Senate,North Carolina,John,Porter,East,,R,1981
Senate,North Dakota,Quentin,,Burdick,,D-NPL,1981
Senate,North Dakota,Mark,,Andrews,,R,1981
Senate,Ohio,Howard,,Metzenbaum,,D,1981
Senate,Ohio,John,,Glenn,,D,1981
Senate,Oklahoma,David,,Boren,,D,1981
Senate,Oklahoma,Don,,Nickles,,R,1981
Senate,Oregon,Mark,,Hatfield,,R,1981
Senate,Oregon,Bob,,Packwood,,R,1981
Senate,Pennsylvania,John,,Heinz,,R,1981
Senate,Pennsylvania,Arlen,,Specter,,R,1981
Senate,Rhode Island,John,,Chafee,,R,1981
Senate,Rhode Island,Claiborne,,Pell,,D,1981
Senate,South Carolina,Strom,,Thurmond,,R,1981
Senate,South Carolina,Fritz,,Hollings,,D,1981
Senate,South Dakota,Larry,,Pressler,,R,1981
Senate,South Dakota,James,,Abdnor,,R,1981
Senate,Tennessee,Jim,,Sasser,,D,1981
Senate,Tennessee,Howard,,Baker,,R,1981
Senate,Texas,Lloyd,,Bentsen,,D,1981
Senate,Texas,John,,Tower,,R,1981
Senate,Utah,Orrin,,Hatch,,R,1981
Senate,Utah,Jake,,Garn,,R,1981
Senate,Vermont,Robert,,Stafford,,R,1981
Senate,Vermont,Patrick,,Leahy,,D,1981
Senate,Virginia,Harry,F.,Byrd,Jr.,I,1981
Senate,Virginia,John,,Warner,,R,1981
Senate,Washington,Henry,M.,Jackson,,D,1981
Senate,Washington,Slade,,Gorton,,R,1981
Senate,West Virginia,Robert,,Byrd,,D,1981
Senate,West Virginia,Jennings,,Randolph,,D,1981
Senate,Wisconsin,William,,Proxmire,,D,1981
Senate,Wisconsin,Bob,,Kasten,,R,1981
Senate,Wyoming,Malcolm,,Wallop,,R,1981
Senate,Wyoming,Alan,,Simpson,,R,1981
House,Alabama,Jack,,Edwards,,R,1981
House,Alabama,William,Louis,Dickinson,,R,1981
House,Alabama,Bill,,Nichols,,D,1981
House,Alabama,Tom,,Bevill,,D,1981
House,Alabama,Ronnie,,Flippo,,D,1981
House,Alabama,Albert,L.,Smith,Jr.,R,1981
House,Alabama,Richard,,Shelby,,D,1981
House,Alaska,Don,,Young,,R,1981
House,Arizona,John,Jacob,Rhodes,,R,1981
House,Arizona,Mo,,Udall,,D,1981
House,Arizona,Bob,,Stump,,D,1981
House,Arizona,Eldon,,Rudd,,R,1981
House,Arkansas,William,Vollie,Alexander,Jr.,D,1981
House,Arkansas,Ed,,Bethune,,R,1981
House,Arkansas,John,Paul,Hammerschmidt,,R,1981
House,Arkansas,Beryl,,Anthony,Jr.,D,1981
House,California,Eugene,A.,Chappie,,R,1981
House,California,Donald,H.,Clausen,,R,1981
House,California,Bob,,Matsui,,D,1981
House,California,Vic,,Fazio,,D,1981
House,California,John,,Burton,,D,1981
House,California,Phillip,,Burton,,D,1981
House,California,George,,Miller,,D,1981
House,California,Ron,,Dellums,,D,1981
House,California,Pete,,Stark,,D,1981
House,California,Don,,Edwards,,D,1981
House,California,Tom,,Lantos,,D,1981
House,California,Pete,,McCloskey,,R,1981
House,California,Norman,,Mineta,,D,1981
House,California,Norman,D.,Shumway,,R,1981
House,California,Tony,,Coelho,,D,1981
House,California,Leon,,Panetta,,D,1981
House,California,Chip,,Pashayan,,R,1981
House,California,Bill,,Thomas,,R,1981
House,California,Robert,J.,Lagomarsino,,R,1981
House,California,Barry,,Goldwater,Jr.,R,1981
House,California,Bobbi,,Fiedler,,R,1981
House,California,Carlos,,Moorhead,,R,1981
House,California,Anthony,,Beilenson,,D,1981
House,California,Henry,,Waxman,,D,1981
House,California,Edward,R.,Roybal,,D,1981
House,California,John,H.,Rousselot,,R,1981
House,California,Bob,,Dornan,,R,1981
House,California,Julian,,Dixon,,D,1981
House,California,Augustus,,Hawkins,,D,1981
House,California,George,E.,Danielson,,D,1981
House,California,Matthew,G.,Martínez,,D,1981
House,California,Mervyn,,Dymally,,D,1981
House,California,Glenn,M.,Anderson,,D,1981
House,California,Wayne,R.,Grisham,,R,1981
House,California,Dan,,Lungren,,R,1981
House,California,David,,Dreier,,R,1981
House,California,George,,Brown,Jr.,D,1981
House,California,Jerry,,Lewis,,R,1981
House,California,Jerry,M.,Patterson,,D,1981
House,California,William,E.,Dannemeyer,,R,1981
House,California,Robert,,Badham,,R,1981
House,California,Bill,,Lowery,,R,1981
House,California,Duncan,L.,Hunter,,R,1981
House,California,Clair,,Burgener,,R,1981
House,Colorado,Pat,,Schroeder,,D,1981
House,Colorado,Tim,,Wirth,,D,1981
House,Colorado,Ray,,Kogovsek,,D,1981
House,Colorado,Hank,,Brown,,R,1981
House,Colorado,Ken,,Kramer,,R,1981
House,Connecticut,William,R.,Cotter,,D,1981
House,Connecticut,Barbara,B.,Kennelly,,D,1981
House,Connecticut,Sam,,Gejdenson,,D,1981
House,Connecticut,Lawrence,J.,DeNardis,,R,1981
House,Connecticut,Stewart,,McKinney,,R,1981
House,Connecticut,William,R.,Ratchford,,D,1981
House,Connecticut,Toby,,Moffett,,D,1981
House,Delaware,Thomas,B.,Evans,Jr.,R,1981
House,Florida,Earl,,Hutto,,D,1981
House,Florida,Don,,Fuqua,,D,1981
House,Florida,Charles,E.,Bennett,,D,1981
House,Florida,Bill,,Chappell,,D,1981
House,Florida,Bill,,McCollum,,R,1981
House,Florida,Bill,,Young,,R,1981
House,Florida,Sam,,Gibbons,,D,1981
House,Florida,Andy,,Ireland,,D,1981
House,Florida,Bill,,Nelson,,D,1981
House,Florida,Skip,,Bafalis,,R,1981
House,Florida,Dan,,Mica,,D,1981
House,Florida,Clay,,Shaw,,R,1981
House,Florida,William,,Lehman,,D,1981
House,Florida,Claude,,Pepper,,D,1981
House,Florida,Dante,,Fascell,,D,1981
House,Georgia,Ronald,'Bo',Ginn,,D,1981
House,Georgia,Charles,Floyd,Hatcher,,D,1981
House,Georgia,Jack,,Brinkley,,D,1981
House,Georgia,Elliott,H.,Levitas,,D,1981
House,Georgia,Wyche,,Fowler,,D,1981
House,Georgia,Newt,,Gingrich,,R,1981
House,Georgia,Larry,,McDonald,,D,1981
House,Georgia,Billy,Lee,Evans,,D,1981
House,Georgia,Ed,,Jenkins,,D,1981
House,Georgia,Doug,,Barnard,Jr.,D,1981
House,Hawaii,Cecil,,Heftel,,D,1981
House,Hawaii,Daniel,,Akaka,,D,1981
House,Idaho,Larry,,Craig,,R,1981
House,Idaho,George,V.,Hansen,,R,1981
House,Illinois,Harold,,Washington,,D,1981
House,Illinois,Gus,,Savage,,D,1981
House,Illinois,Marty,,Russo,,D,1981
House,Illinois,Ed,,Derwinski,,R,1981
House,Illinois,John,G.,Fary,,D,1981
House,Illinois,Henry,,Hyde,,R,1981
House,Illinois,Cardiss,,Collins,,D,1981
House,Illinois,Dan,,Rostenkowski,,D,1981
House,Illinois,Sidney,R.,Yates,,D,1981
House,Illinois,John,,Porter,,R,1981
House,Illinois,Frank,,Annunzio,,D,1981
House,Illinois,Phil,,Crane,,R,1981
House,Illinois,Robert,,McClory,,R,1981
