State,State Bird
Alabama,Yellowhammer (northern flicker)
Alaska,Willow ptarmigan
American Samoa,None(See List of birds of American Samoa)
Arizona,Cactus wren
Arkansas,Northern mockingbird
California,California quail
Colorado,Lark bunting
Connecticut,American robin
Delaware,Delaware Blue Hen
District of Columbia,Wood thrush
Florida,Northern mockingbird
Georgia,Brown thrasher
Guam,Guam rail (ko'ko')
Hawaii,Hawaiian goose (nēnē)
Idaho,Mountain bluebird
Illinois,Northern cardinal
Indiana,Northern cardinal
Iowa,Eastern goldfinch (American goldfinch)
Kansas,Western meadowlark
Kentucky,Northern cardinal
Louisiana,Brown pelican
Maine,Chickadee
Maryland,Baltimore oriole
Massachusetts,Black-capped chickadee
Michigan,American robin
Minnesota,Common loon
Mississippi,Northern mockingbird
Missouri,Eastern bluebird
Montana,Western meadowlark
Nebraska,Western meadowlark
Nevada,Mountain bluebird
New Hampshire,Purple finch
New Jersey,Eastern goldfinch (American goldfinch)
New Mexico,Greater roadrunner
New York,Eastern bluebird
North Carolina,Northern cardinal
North Dakota,Western meadowlark
Northern Mariana Islands,Mariana fruit-dove
Ohio,Northern cardinal
Oklahoma,Scissor-tailed flycatcher
Oregon,Western meadowlark(state songbird)[a]
Pennsylvania,Ruffed grouse[b]
Puerto Rico,Puerto Rican spindalis (de facto)
Rhode Island,Rhode Island Red
South Carolina,Carolina wren
South Dakota,Ring-necked pheasant
Tennessee,Northern mockingbird
Texas,Northern mockingbird
Utah,California gull
Vermont,Hermit thrush
Virgin Islands,Bananaquit
Virginia,Northern cardinal
Washington,Willow goldfinch (American goldfinch)
West Virginia,Northern cardinal
Wisconsin,American robin
Wyoming,Western meadowlark
