Chamber,State,First_Name,Last_Name,Party,Congressional_Year,State Bird
Senate,Alabama,Howell,Heflin,D,1981,Yellowhammer (northern flicker)
Senate,Alabama,Jeremiah,Denton,R,1981,Yellowhammer (northern flicker)
Senate,Alaska,Ted,Stevens,R,1981,Willow ptarmigan
Senate,Alaska,Frank,Murkowski,R,1981,Willow ptarmigan
Senate,Arizona,Dennis,DeConcini,D,1981,Cactus wren
Senate,Arizona,Barry,Goldwater,R,1981,Cactus wren
Senate,Arkansas,David,Pryor,D,1981,Northern mockingbird
Senate,Arkansas,Dale,Bumpers,D,1981,Northern mockingbird
Senate,California,S.,Hayakawa,R,1981,California quail
Senate,California,Alan,Cranston,D,1981,California quail
Senate,Colorado,William,Armstrong,R,1981,Lark bunting
Senate,Colorado,Gary,Hart,D,1981,Lark bunting
Senate,Connecticut,Lowell,Weicker,R,1981,American robin
Senate,Connecticut,Chris,Dodd,D,1981,American robin
Senate,Delaware,William,Roth,R,1981,Delaware Blue Hen
Senate,Delaware,Joe,Biden,D,1981,Delaware Blue Hen
Senate,Florida,Lawton,Chiles,D,1981,Northern mockingbird
Senate,Florida,Paula,Hawkins,R,1981,Northern mockingbird
Senate,Georgia,Sam,Nunn,D,1981,Brown thrasher
Senate,Georgia,Mack,Mattingly,R,1981,Brown thrasher
Senate,Hawaii,Spark,Matsunaga,D,1981,Hawaiian goose (nēnē)
Senate,Hawaii,Daniel,Inouye,D,1981,Hawaiian goose (nēnē)
Senate,Idaho,James,McClure,R,1981,Mountain bluebird
Senate,Idaho,Steve,Symms,R,1981,Mountain bluebird
Senate,Illinois,Charles,Percy,R,1981,Northern cardinal
Senate,Illinois,Alan,Dixon,D,1981,Northern cardinal
Senate,Indiana,Richard,Lugar,R,1981,Northern cardinal
Senate,Indiana,Dan,Quayle,R,1981,Northern cardinal
Senate,Iowa,Roger,Jepsen,R,1981,Eastern goldfinch (American goldfinch)
Senate,Iowa,Chuck,Grassley,R,1981,Eastern goldfinch (American goldfinch)
Senate,Kansas,Nancy,Kassebaum,R,1981,Western meadowlark
Senate,Kansas,Bob,Dole,R,1981,Western meadowlark
Senate,Kentucky,Walter,Huddleston,D,1981,Northern cardinal
Senate,Kentucky,Wendell,Ford,D,1981,Northern cardinal
Senate,Louisiana,J.,Johnston,D,1981,Brown pelican
Senate,Louisiana,Russell,Long,D,1981,Brown pelican
Senate,Maine,George,Mitchell,D,1981,Chickadee
Senate,Maine,William,Cohen,R,1981,Chickadee
Senate,Maryland,Paul,Sarbanes,D,1981,Baltimore oriole
Senate,Maryland,Charles,Mathias,R,1981,Baltimore oriole
Senate,Massachusetts,Ted,Kennedy,D,1981,Black-capped chickadee
Senate,Massachusetts,Paul,Tsongas,D,1981,Black-capped chickadee
Senate,Michigan,Donald,Riegle,D,1981,American robin
Senate,Michigan,Carl,Levin,D,1981,American robin
Senate,Minnesota,David,Durenberger,R,1981,Common loon
Senate,Minnesota,Rudy,Boschwitz,R,1981,Common loon
Senate,Mississippi,John,Stennis,D,1981,Northern mockingbird
Senate,Mississippi,Thad,Cochran,R,1981,Northern mockingbird
Senate,Missouri,John,Danforth,R,1981,Eastern bluebird
Senate,Missouri,Thomas,Eagleton,D,1981,Eastern bluebird
Senate,Montana,John,Melcher,D,1981,Western meadowlark
Senate,Montana,Max,Baucus,D,1981,Western meadowlark
Senate,Nebraska,Edward,Zorinsky,D,1981,Western meadowlark
Senate,Nebraska,J.,Exon,D,1981,Western meadowlark
Senate,Nevada,Howard,Cannon,D,1981,Mountain bluebird
Senate,Nevada,Paul,Laxalt,R,1981,Mountain bluebird
Senate,New Hampshire,Gordon,Humphrey,R,1981,Purple finch
Senate,New Hampshire,Warren,Rudman,R,1981,Purple finch
Senate,New Jersey,Harrison,Williams,D,1981,Eastern goldfinch (American goldfinch)
Senate,New Jersey,Nicholas,Brady,R,1981,Eastern goldfinch (American goldfinch)
Senate,New Jersey,Frank,Lautenberg,D,1981,Eastern goldfinch (American goldfinch)
Senate,New Jersey,Bill,Bradley,D,1981,Eastern goldfinch (American goldfinch)
Senate,New Mexico,Harrison,Schmitt,R,1981,Greater roadrunner
Senate,New Mexico,Pete,Domenici,R,1981,Greater roadrunner
Senate,New York,Daniel,Moynihan,D,1981,Eastern bluebird
Senate,New York,Al,D'Amato,R,1981,Eastern bluebird
Senate,North Carolina,Jesse,Helms,R,1981,Northern cardinal
Senate,North Carolina,John,East,R,1981,Northern cardinal
Senate,North Dakota,Quentin,Burdick,D-NPL,1981,Western meadowlark
Senate,North Dakota,Mark,Andrews,R,1981,Western meadowlark
Senate,Ohio,Howard,Metzenbaum,D,1981,Northern cardinal
Senate,Ohio,John,Glenn,D,1981,Northern cardinal
Senate,Oklahoma,David,Boren,D,1981,Scissor-tailed flycatcher
Senate,Oklahoma,Don,Nickles,R,1981,Scissor-tailed flycatcher
Senate,Oregon,Mark,Hatfield,R,1981,Western meadowlark(state songbird)[a]
Senate,Oregon,Bob,Packwood,R,1981,Western meadowlark(state songbird)[a]
Senate,Pennsylvania,John,Heinz,R,1981,Ruffed grouse[b]
Senate,Pennsylvania,Arlen,Specter,R,1981,Ruffed grouse[b]
Senate,Rhode Island,John,Chafee,R,1981,Rhode Island Red
Senate,Rhode Island,Claiborne,Pell,D,1981,Rhode Island Red
Senate,South Carolina,Strom,Thurmond,R,1981,Carolina wren
Senate,South Carolina,Fritz,Hollings,D,1981,Carolina wren
Senate,South Dakota,Larry,Pressler,R,1981,Ring-necked pheasant
Senate,South Dakota,James,Abdnor,R,1981,Ring-necked pheasant
Senate,Tennessee,Jim,Sasser,D,1981,Northern mockingbird
Senate,Tennessee,Howard,Baker,R,1981,Northern mockingbird
Senate,Texas,Lloyd,Bentsen,D,1981,Northern mockingbird
Senate,Texas,John,Tower,R,1981,Northern mockingbird
Senate,Utah,Orrin,Hatch,R,1981,California gull
Senate,Utah,Jake,Garn,R,1981,California gull
Senate,Vermont,Robert,Stafford,R,1981,Hermit thrush
Senate,Vermont,Patrick,Leahy,D,1981,Hermit thrush
Senate,Virginia,Harry,Byrd,I,1981,Northern cardinal
Senate,Virginia,John,Warner,R,1981,Northern cardinal
Senate,Washington,Henry,Jackson,D,1981,Willow goldfinch (American goldfinch)
Senate,Washington,Slade,Gorton,R,1981,Willow goldfinch (American goldfinch)
Senate,West Virginia,Robert,Byrd,D,1981,Northern cardinal
Senate,West Virginia,Jennings,Randolph,D,1981,Northern cardinal
Senate,Wisconsin,William,Proxmire,D,1981,American robin
Senate,Wisconsin,Bob,Kasten,R,1981,American robin
Senate,Wyoming,Malcolm,Wallop,R,1981,Western meadowlark
Senate,Wyoming,Alan,Simpson,R,1981,Western meadowlark
